source_system_id,person_id,confidence
client_100001,1002681,0.946235299110413
client_100004,1000056,0.0202489364892244
client_100038,1002242,0.0474769026041031
client_100075,1007340,0.000934190000407398
client_100081,1000448,0.000728440412785858
client_100162,1001182,0.00841274112462997
client_100231,1016708,0.924642503261566
client_100237,1004483,0.959522247314453
client_100266,1023646,0.10298115760088
client_100325,1003158,0.0156303141266108
client_100421,1017641,0.000266479881247506
client_100435,1005478,0.00129859556909651
client_100461,1003192,0.106162495911121
client_100683,1001182,0.0408736616373062
client_100708,1016350,0.969667673110962
client_100729,1013140,0.353362560272217
client_10073,1006573,0.957749545574188
client_100772,1014416,0.978280007839203
client_100798,1010244,0.973252713680267
client_1008,1029510,0.909820735454559
client_100848,1011880,0.0523852705955505
client_100924,1027778,0.960008144378662
client_100939,1003874,0.00152526691090316
client_101017,1026794,0.00160198204685003
client_101076,1022470,0.0383045114576817
client_101092,1027983,0.964664041996002
client_101125,1024654,0.996323347091675
client_101129,1003504,0.983789920806885
client_101140,1026904,0.965519785881042
client_101147,1022945,0.00628223735839128
client_101159,1023733,0.0101306093856692
client_101166,1025168,0.0743810161948204
client_101174,1019235,0.0130218658596277
client_101265,1029729,0.0108808418735862
client_101282,1002047,0.00414028344675899
client_101293,1005080,0.0383341982960701
client_101324,1003696,0.000132345172460191
client_101345,1007864,0.981554448604584
client_101484,1028324,0.982255041599274
client_101497,1010270,0.000567268289159983
client_10152,1003821,0.974432110786438
client_101520,1005378,0.937262177467346
client_101523,1014792,0.952632427215576
client_101567,1013622,0.00164738902822137
client_101601,1021606,0.00552709540352225
client_101623,1006794,0.968231320381165
client_101627,1026597,0.0114214895293117
client_101649,1027189,0.910666406154633
client_101694,1010076,0.960254848003387
client_101696,1005820,0.940438330173492
client_101703,1023715,0.965504825115204
client_101715,1023577,0.953556597232819
client_101716,1018013,0.0549154542386532
client_101718,1000727,0.0253352150321007
client_101758,1016264,0.958928406238556
client_101783,1002061,0.978165864944458
client_101786,1024322,0.979666292667389
client_10179,1024126,0.909220218658447
client_101812,1017702,0.000492187624331564
client_101822,1015374,0.95696347951889
client_101834,1027813,0.987572491168976
client_101835,1015750,0.0394062697887421
client_101849,1011783,0.0067520635202527
client_101850,1016299,0.00172389450017363
client_101855,1003746,3.87793515983503e-05
client_101870,1010143,0.968554496765137
client_101877,1006004,0.068541519343853
client_101898,1028334,0.963267922401428
client_101907,1026580,0.991109848022461
client_101916,1026751,0.961484670639038
client_101935,1029655,0.981577813625336
client_101945,1005731,0.0549156330525875
client_101957,1021031,0.684323728084564
client_101980,1027796,0.984989583492279
client_101981,1005467,0.96384334564209
client_101984,1029770,0.000129816617118195
client_101994,1017832,0.0137383062392473
client_102011,1021538,0.967084586620331
client_102019,1013920,0.955035507678986
client_102052,1029343,0.976263165473938
client_102061,1025437,0.996932804584503
client_102071,1012348,0.000206719254492782
client_102076,1001811,0.000517720356583595
client_102090,1028108,0.95438414812088
client_102107,1015176,0.105768464505672
client_102117,1026579,0.0852672159671783
client_102120,1027743,0.887019336223602
client_102142,1010686,0.00557853793725371
client_102155,1027375,0.964415729045868
client_102174,1000264,0.959049582481384
client_102189,1029371,0.000976917333900928
client_102234,1000051,0.916885733604431
client_102237,1005024,0.691265881061554
client_102241,1003372,0.0619035772979259
client_102253,1007758,0.965224146842957
client_10227,1000617,0.963072657585144
client_102306,1014943,0.0473658517003059
client_102308,1027726,0.00118197884876281
client_102319,1017326,0.991270840167999
client_102373,1025992,0.952437877655029
client_102390,1029216,0.963366985321045
client_102418,1022649,0.0038128299638629
client_102424,1004401,0.975545346736908
client_102432,1004671,0.00712956674396992
client_102436,1024716,0.0220731273293495
client_102455,1003047,0.0115089984610677
client_102461,1016148,0.962874531745911
client_102473,1012586,0.0172630175948143
client_102477,1000850,0.263492584228516
client_102485,1011732,0.976079225540161
client_102486,1017792,0.900206625461578
client_102521,1012707,0.895398020744324
client_102523,1019789,0.00211529596708715
client_102565,1022675,0.000334834156092256
client_102580,1014749,0.938677251338959
client_102621,1007273,0.967073082923889
client_10269,1000239,0.072178028523922
client_102699,1028680,0.952385902404785
client_102709,1002298,0.0408771857619286
client_102723,1002941,0.0031538859475404
client_102730,1018767,0.990997612476349
client_102751,1007427,0.130489870905876
client_10276,1003958,0.964067041873932
client_102767,1014641,0.180475428700447
client_102776,1002288,0.978948295116425
client_102782,1002014,0.949069738388062
client_102854,1006265,0.992206513881683
client_102878,1009846,0.960731625556946
client_102896,1017861,0.0329096391797066
client_102904,1030092,0.94909280538559
client_102944,1000936,0.00686548370867968
client_102973,1011109,0.970240890979767
client_102976,1027670,0.00173847808036953
client_102992,1018535,0.939336657524109
client_10301,1024702,0.983617305755615
client_103014,1015817,0.952886641025543
client_103055,1005994,0.971957266330719
client_103068,1007490,0.97102427482605
client_103076,1008559,0.0687740072607994
client_103135,1009047,0.00283174472860992
client_103167,1026794,0.000343604595400393
client_10317,1028133,0.97275298833847
client_103186,1006173,0.974585115909576
client_103198,1005181,0.975529432296753
client_103236,1028692,0.0105771329253912
client_103241,1023090,0.0170026794075966
client_103260,1027490,0.860031843185425
client_103313,1027153,0.94092333316803
client_103352,1024043,0.122523330152035
client_103376,1008156,0.0327310636639595
client_103395,1002063,0.0116005362942815
client_103433,1029768,0.947573065757751
client_103450,1019503,0.0211104582995176
client_103492,1004873,0.948316037654877
client_103493,1003199,0.943964004516602
client_103512,1029478,0.953804552555084
client_103517,1027521,0.948205649852753
client_103522,1022980,0.978387951850891
client_103525,1001289,0.000529601064044982
client_103605,1008563,0.980446577072144
client_103608,1008103,0.00754295475780964
client_103619,1004267,0.0157530996948481
client_103629,1023425,0.957658469676971
client_103677,1028773,0.969947397708893
client_103696,1005767,0.0525676943361759
client_10371,1005921,0.89044862985611
client_103715,1001689,0.0227623488754034
client_103748,1026912,0.996766448020935
client_1038,1001290,0.981756806373596
client_103809,1003906,0.971965253353119
client_103817,1015608,0.000220988367800601
client_103824,1000729,0.00944340601563454
client_103828,1006478,0.00163956335745752
